target_id	name	uniprot	description	cmpd_id_in_src	cmpd_pubchem_cid	pubmed_ids
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL565292	45486768	19674897
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL129282	44352025	10636229
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL9461	44265958	11297451
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL338788	10841532	9371237
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL121892	10001054	15203151
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL340276	44352031	10636229
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL32967	44281490	12668009
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL603267	45140767	20148533
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL543817	45260552	12781189
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL298500	9850350	11960487
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL179210	23646587	15771442
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL52917	44296502	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL513818	44569811	19036586
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL18516	21182884	10201846
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL255916	11189887	18420408
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL163312	44377281	11858993
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3091502	72200999	24175584
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1166	92722	23899618
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3741504	127042760	26690913
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL399662	10226645	17889527
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL302033	44310952	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL565328	45486774	19674897
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL34614	9868194	12668008
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL371650	44406439	16257203
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL83345	44319919	9871532
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL74701	21250518	12824021
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL417457	44272813	11934589
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL351616	44377644	11858993
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL289550	22722517	12668020
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL366653	23646583	15771442
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1083500	18671915	20102150
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL72466	44311021	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL505589	11491382	9599274
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL360071	44387823	15771442
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3091526	72792608	24175584
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL307385	21250427	12824021
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL287807	44288029	9873397
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL287807	44288029	10636250
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL543893	45261831	7966150
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL53576	44296306	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL342994	10983472	12570369
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL298661	10627067	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL53802	10603912	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL298127	10722538	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL284129	44281669	12668009
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL355428	44380699	10206546
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3216390	90664760	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL299617	44296386	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL114715	66005	9934479
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL114715	66005	10669559
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL100712	44330954	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL194316	11742672	16137886
